EnsemblID,Set,scoreMethod,Score,MHC1OR2,Process_classification,Gene_name_kegg,Ensembl_name,KO_definition/Ensembl_definition,Link,Neefjes_accession,Subdivision types,Location of action,outlierDivided
ENSG00000108107,NS,totalScore_Union_Fit_HighConf,-1.500208063535938,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000124762,NS,totalScore_Union_Fit_HighConf,-1.5039114798423867,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000213658,NS,totalScore_Union_Fit_HighConf,-1.5250026833951145,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000145088,NS,totalScore_Union_Fit_HighConf,-1.5464207507690553,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000167972,NS,totalScore_Union_Fit_HighConf,-1.5596069544776627,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000182866,NS,totalScore_Union_Fit_HighConf,-1.5608540933826882,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000086061,NS,totalScore_Union_Fit_HighConf,-1.5675287731673118,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000085514,NS,totalScore_Union_Fit_HighConf,-1.5730522424536204,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000119411,NS,totalScore_Union_Fit_HighConf,-1.6042236808239645,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000184922,NS,totalScore_Union_Fit_HighConf,-1.6288650782889418,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000103811,NS,totalScore_Union_Fit_HighConf,-1.6470672527460133,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000122862,NS,totalScore_Union_Fit_HighConf,-1.6502144822836806,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000175305,NS,totalScore_Union_Fit_HighConf,-1.6547725858196403,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000115085,NS,totalScore_Union_Fit_HighConf,-1.6626178861771361,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000005844,NS,totalScore_Union_Fit_HighConf,-1.664631026654381,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000074266,NS,totalScore_Union_Fit_HighConf,-1.6860292224710225,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000196531,NS,totalScore_Union_Fit_HighConf,-1.689637651116799,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000117748,NS,totalScore_Union_Fit_HighConf,-1.6985421510211527,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000002834,NS,totalScore_Union_Fit_HighConf,-1.7086538815898198,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000175104,NS,totalScore_Union_Fit_HighConf,-1.7196387242386475,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000162062,NS,totalScore_Union_Fit_HighConf,-1.7216620965699443,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000132465,NS,totalScore_Union_Fit_HighConf,-1.7299069321005742,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000185049,NS,totalScore_Union_Fit_HighConf,-1.7352798342260796,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000205542,NS,totalScore_Union_Fit_HighConf,-1.7503310732349773,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000077348,NS,totalScore_Union_Fit_HighConf,-1.7544905366746555,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000100297,NS,totalScore_Union_Fit_HighConf,-1.782023004266538,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
ENSG00000244509,NS,totalScore_Union_Fit_HighConf,-1.783647205826023,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
