plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
9,81,G09,0.031,0.121,-0.01,siControl,siControl,0.031,0,L243
3,4,A04,-0.078,0.576,-0.008,NM_015893,PRH,-0.008,0,L243
8,49,E01,-0.66,-0.321,-0.004,siDM,siDM,-0.321,0,L243
3,94,H10,0.628,-0.059,0,siControl,siControl,0,0,L243
3,24,B12,-0.427,0.157,0,siControl,siControl,0,0,L243
3,16,B04,-0.197,0.493,0,siControl,siControl,0,0,L243
9,3,A03,-0.362,0.396,0.01,siControl,siControl,0.01,0,L243
11,72,F12,-0.57,0.84,0.011,NM_024789,C10ORF77,0.011,0,L243
4,68,F08,-0.084,-0.35,0.014,siControl,siControl,-0.084,0,L243
7,29,C05,0.062,-0.037,0.015,siControl,siControl,0.015,0,L243
9,53,E05,-1.069,0.143,0.02,NM_033426,KIAA1737,0.02,0,L243
9,26,C02,-0.726,0.186,0.02,wt,wt,0.02,0,L243
6,2,A02,-0.993,-1.321,0.026,wt,wt,-0.993,0,L243
2,68,F08,-0.061,0.004,0.029,siControl,siControl,0.004,0,L243
1,16,B04,0.007,-0.072,0.033,siControl,siControl,0.007,0,L243
2,12,A12,-0.832,0.346,0.037,NM_024600,FLJ20898,0.037,0,L243
9,11,A11,-0.642,-0.338,0.039,siControl,siControl,-0.338,0,L243
9,54,E06,-0.913,0.659,0.039,NM_032298,SYT3,0.039,0,L243
11,14,B02,-0.508,-0.469,0.041,wt,wt,-0.469,0,L243
3,81,G09,-0.093,0.253,0.041,siControl,siControl,0.041,0,L243
12,55,E07,0.245,-0.216,0.045,siControl,siControl,0.045,0,L243
12,4,A04,-0.094,0.772,0.045,NM_015691,KIAA1280,0.045,0,L243
3,53,E05,-0.622,-0.17,0.049,NM_015459,DKFZP564J0863,-0.17,0,L243
3,41,D05,-0.427,0.121,0.049,NM_013974,DDAH2,0.049,0,L243
8,96,H12,-0.589,0.903,0.055,NM_180991,SLCO4C1,0.055,0,L243
12,49,E01,-1.41,-0.425,0.057,siDM,siDM,-0.425,0,L243
12,14,B02,-0.709,-0.056,0.057,wt,wt,-0.056,0,L243
