Gene,Adult cDC2 ,Adult CD14 DC,Adult cDC1,Fetal cDC2,Fetal CD14 DC,Fetal cDC1
LOC644749,6.9011057522,6.8760702723,6.9847103825,7.0419003306,7.0322507272,7.0569516197
LOC644760,7.1618177685,7.0929898889,7.1495165159,6.9661474875,7.0829991172,7.0171445705
LOC644763,6.9317965847,6.9249468124,6.9082602573,7.2288107655,7.2721594725,7.1621304273
LOC644799,8.0434902738,8.0187253963,8.1114358445,8.769248972,8.7782000266,8.7233144417
LOC644816,7.0053526166,6.9380111179,7.0250760672,7.1845090119,7.107378642,7.4739126056
LOC644873,6.9249104624,6.7865208984,6.8029473735,7.0153391137,7.0566797313,7.0284959031
LOC644877,6.9598556428,6.861219242,6.9493106584,7.6524915283,7.4787140788,7.6989476954
LOC644879,9.3231476791,9.5592537173,9.722239572,8.556462478,8.2735201723,8.6620837672
LOC644914,9.1305494625,8.79205039,9.2380806512,9.462261188,9.3638271103,9.4049983272
LOC644928,10.2342466431,10.0459596302,10.9392587151,9.7960382651,9.35736781,9.621908215
LOC644935,8.1570758463,8.0121133533,8.2982399629,8.5129838364,9.0399021052,8.5479652825
LOC644936,10.5909102386,9.8309473142,11.085759906,8.8231862742,8.5008917693,9.2084660552
LOC644978,7.1878210397,7.2719118803,7.1378425644,7.653067453,7.7344275009,7.9096818311
LOC644986,6.7656952198,6.7871203917,6.7933080628,6.8910319788,6.9664730732,6.9153883238
LOC644988,7.8871754776,7.9505800813,7.7540547112,7.5236159005,7.3960949335,7.3650663182
LOC645010,6.9614861522,7.0028427654,7.0989676514,7.25253808,7.2310094467,7.1493124743
LOC645100,6.9485871868,6.8992815282,6.9167313317,6.9959829129,7.0665878489,7.091750432
LOC645181,6.8481945783,6.8089077717,6.8063783972,7.0793600755,7.1689666876,7.0726370299
LOC645320,6.8675027641,6.8246300226,6.7974667708,7.1375653651,6.983278582,7.1077714289
LOC645339,7.2635810862,7.4125523672,7.2479762291,7.071259077,7.1562469592,7.1553318739
LOC645385,8.6188937375,8.3969354331,8.9852050754,9.5846467829,9.1984079795,9.2532513088
LOC645387,11.421107608,11.0812285847,12.0018880763,12.3370826245,12.0352632136,12.0428594298
LOC645410,6.9041254237,6.8259790601,6.9678513192,6.7261416951,6.719843051,6.6845496591
LOC645436,8.3706389443,8.351780315,8.7825628466,9.2299543901,8.7612348037,9.0188047479
LOC645441,6.6958841497,6.7926513044,6.7662222269,6.9392394614,6.9131083827,6.8310304746
LOC645489,7.7128978879,7.7717985,8.1352458739,7.3422488588,7.3980454972,7.2589370894
LOC645490,6.6145934322,6.5586416178,6.5901219885,6.797754329,6.8704910741,6.6857770091
LOC645515,9.2640565032,9.1130524529,9.270827567,9.9659136742,9.5740620457,9.8762517563
LOC645585,6.9990970818,6.9563865068,6.9974571955,6.8409987665,6.8274344068,6.896003736
LOC645620,7.0628904243,7.1641542409,7.2994985915,6.9289990602,7.0637866426,6.9416688866
LOC645693,8.0594371771,7.7019662653,8.0998528046,7.4384311033,7.5201577096,7.2644060889
LOC645762,7.5671985825,7.391926973,7.8896025003,7.3840743498,7.3776884209,7.239865557
LOC645811,6.6274949892,6.576652574,6.7048968895,6.7733879809,6.8010796634,6.8467449761
LOC645869,7.0394845058,6.9766028817,6.8382389513,6.7506667173,6.667588031,6.8152416187
LOC645937,7.7961415408,7.8751952043,7.9149833949,7.3726798168,7.4652426835,7.192074241
