GeneSymbol,MedianCLIP,MedianL243,selectedMedian
SYNPO,1.5075,0.7375,1.5075
SYNPO2,1.288,0.379,1.288
SYNPO2L,0.366,0.306,0.366
SYNPR,-1.305,-1.131,1.305
SYP,-0.242,-0.565,0.565
SYPL,-0.014999999999999958,1.25,1.25
SYT10,0.483,-0.06549999999999999,0.483
SYT11,0.5065,-0.4115,0.5065
SYT12,0.22899999999999998,0.7515000000000001,0.7515000000000001
SYT13,-0.192,0.46,0.46
SYT14,-0.593,-0.123,0.593
SYT14L,0.012,0.177,0.177
SYT15,0.882,-0.638,0.882
SYT2,-1.329,-0.287,1.329
SYT3,2.419,-0.554,2.419
SYT4,-0.83,1.4115,1.4115
SYT5,0.30450000000000005,0.5055,0.5055
SYT6,-0.726,-1.627,1.627
SYT7,0.605,-0.5355,0.605
SYT8,-0.257,-1.413,1.413
SYTL1,-1.459,-1.486,1.486
SYTL2,0.8634999999999999,2.306,2.306
SYTL3,-1.031,1.377,1.377
SYTL4,0.674,-1.111,1.111
SYTL5,0.217,0.37,0.37
T1,-1.241,-0.871,1.241
T1A-2,0.444,2.011,2.011
T2BP,0.1245,0.951,0.951
T3JAM,-0.799,-1.292,1.292
TAB3,0.594,0.477,0.594
TAC4,-0.27,-0.605,0.605
TACR1,0.129,0.627,0.627
TACR2,-0.624,0.542,0.624
TACR3,-0.068,-0.305,0.305
TAF3,1.3904999999999998,1.3785,1.3904999999999998
TAFA2,-0.605,0.105,0.605
TAFA3,-2.033,-0.362,2.033
TAFA4,1.0154999999999998,1.1615,1.1615
TAFA5,-0.6535,1.5775000000000001,1.5775000000000001
TAGAP,-0.904,0.547,0.904
TAIP-2,0.169,-2.136,2.136
TA-KRP,-2.26,-0.11,2.26
TA-NFKBH,0.00899999999999998,-0.6335000000000001,0.6335000000000001
TAPBPL,0.26649999999999996,3.8655,3.8655
TARP,-0.547,-1.221,1.221
TARS,-0.016000000000000014,1.0725,1.0725
TARSH,-0.16099999999999998,-0.3475,0.3475
TAS1R1,2.092,2.451,2.451
TAS1R2,0.6759999999999999,-1.224,1.224
TAS1R3,0,0.7715,0.7715
TAS2R1,2.6885000000000003,0.972,2.6885000000000003
TAS2R10,1.21,0.21250000000000002,1.21
TAS2R13,1.234,0.17,1.234
TAS2R14,1.0665,0.08050000000000002,1.0665
TAS2R16,1.3010000000000002,0.23450000000000004,1.3010000000000002
TAS2R3,1.888,0.343,1.888
TAS2R39,2.1155,-0.16249999999999998,2.1155
TAS2R4,0.8175,0.8235,0.8235
TAS2R40,1.941,-1.367,1.941
TAS2R41,1.756,-0.33549999999999996,1.756
TAS2R43,-0.248,1.202,1.202
TAS2R44,-0.92,0.315,0.92
TAS2R45,-0.814,-0.25,0.814
TAS2R46,0.79,-0.105,0.79
TAS2R48,1.7985,-0.1955,1.7985
TAS2R49,-0.369,-0.276,0.369
TAS2R5,0.7725,0.9724999999999999,0.9724999999999999
TAS2R50,-0.415,-0.559,0.559
TAS2R60,0.659,-0.186,0.659
TAS2R7,1.4005,0.3415,1.4005
TAS2R8,1.399,1.109,1.399
TAS2R9,-0.136,-2.636,2.636
TATDN1,-0.58,-0.24,0.58
TATDN2,-1.045,0.6975,1.045
TAX1BP3,-0.5145,0.359,0.5145
TAZ,-1.5405000000000002,0.05950000000000001,1.5405000000000002
TBC1D1,-1.3885,-0.5035,1.3885
TBC1D10,0.676,-0.301,0.676
TBC1D12,0.2675,1.669,1.669
TBC1D13,-0.0515,0.8995,0.8995
TBC1D14,-0.436,0.3165,0.436
